# Job 44: 44
# GPU: 6
# Command: python train.py --level 44 --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/44
# Started: 2026-01-19T22:30:54.651569
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/44/level44_100m_20260119_223059
Auto r_h_mode: none (level 44 has bounded/no W_h)
Model: Level 44, 32,996,480 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step   1840 | loss nan | lr 2.01e-04 | grad nan | tok/s 138172
step   1850 | loss nan | lr 1.55e-04 | grad nan | tok/s 139933
step   1860 | loss nan | lr 1.09e-04 | grad nan | tok/s 139382
step   1870 | loss nan | lr 6.65e-05 | grad nan | tok/s 142570
step   1880 | loss nan | lr 3.24e-05 | grad nan | tok/s 143253
step   1890 | loss nan | lr 9.84e-06 | grad nan | tok/s 140207
step   1900 | loss nan | lr 1.07e-06 | grad nan | tok/s 141942
step   1910 | loss nan | lr 6.93e-06 | grad nan | tok/s 140008
step   1920 | loss nan | lr 2.68e-05 | grad nan | tok/s 144579
step   1930 | loss nan | lr 5.89e-05 | grad nan | tok/s 143142
step   1940 | loss nan | lr 9.99e-05 | grad nan | tok/s 145657
step   1950 | loss nan | lr 1.46e-04 | grad nan | tok/s 142389
step   1960 | loss nan | lr 1.92e-04 | grad nan | tok/s 144991
step   1970 | loss nan | lr 2.35e-04 | grad nan | tok/s 140099
step   1980 | loss nan | lr 2.69e-04 | grad nan | tok/s 140053
step   1990 | loss nan | lr 2.91e-04 | grad nan | tok/s 143305
step   2000 | loss nan | lr 3.00e-04 | grad nan | tok/s 144466
  >>> saved checkpoint: checkpoint_step_002000_loss_nan.pt
step   2010 | loss nan | lr 2.94e-04 | grad nan | tok/s 123513
step   2020 | loss nan | lr 2.74e-04 | grad nan | tok/s 148316
step   2030 | loss nan | lr 2.42e-04 | grad nan | tok/s 146765
step   2040 | loss nan | lr 2.01e-04 | grad nan | tok/s 148012
step   2050 | loss nan | lr 1.55e-04 | grad nan | tok/s 146667
step   2060 | loss nan | lr 1.09e-04 | grad nan | tok/s 139426
step   2070 | loss nan | lr 6.65e-05 | grad nan | tok/s 146757
step   2080 | loss nan | lr 3.24e-05 | grad nan | tok/s 138898
step   2090 | loss nan | lr 9.84e-06 | grad nan | tok/s 144107
step   2100 | loss nan | lr 1.07e-06 | grad nan | tok/s 139479
step   2110 | loss nan | lr 6.93e-06 | grad nan | tok/s 144328
step   2120 | loss nan | lr 2.68e-05 | grad nan | tok/s 142535
step   2130 | loss nan | lr 5.89e-05 | grad nan | tok/s 139222
step   2140 | loss nan | lr 9.99e-05 | grad nan | tok/s 139381
step   2150 | loss nan | lr 1.46e-04 | grad nan | tok/s 140519
step   2160 | loss nan | lr 1.92e-04 | grad nan | tok/s 138816
step   2170 | loss nan | lr 2.35e-04 | grad nan | tok/s 140768
step   2180 | loss nan | lr 2.69e-04 | grad nan | tok/s 144274
step   2190 | loss nan | lr 2.91e-04 | grad nan | tok/s 143673
